Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed
No Controlled Devices
0,AllDays,30,1e-09,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,333.330321712009,196.57685834829664,3.3333031896190876e-10,1.965768563957679e-10,118
0,AllDays,30,1e-09,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,266.6642551240274,157.26148717042793,2.666642558656216e-10,1.572614846796323e-10,118
0,AllDays,30,1e-09,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,199.99819121926518,117.94611432807783,1.9999819198282837e-10,1.1794611369204113e-10,118
0,AllDays,30,1e-09,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,133.3321275620137,78.63074358521396,1.333321279328108e-10,7.863074233981615e-11,118
0,AllDays,30,1e-09,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,66.66606378100686,39.31537179260698,6.66660639664054e-11,3.931537116990808e-11,118
0,AllDays,30,1e-09,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,30,1e-09,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,60,1e-09,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,574.6113459538606,330.2040627078934,5.74611349446298e-10,3.302040658551209e-10,118
0,AllDays,60,1e-09,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,522.3739525786901,300.1855150814801,5.223739558850657e-10,3.001855147918114e-10,118
0,AllDays,60,1e-09,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,470.1365577002703,270.16696128906875,4.701365585824171e-10,2.701669624973281e-10,118
0,AllDays,60,1e-09,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,417.89916083368206,240.14840987150902,4.17899162367646e-10,2.401484104304339e-10,118
0,AllDays,60,1e-09,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,365.66176664627204,210.1298591978895,3.65661765649364e-10,2.1012985734565806e-10,118
0,AllDays,60,1e-09,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,313.424371355671,180.11130470995695,3.1342437172795607e-10,1.801113062139354e-10,118
0,AllDays,60,1e-09,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,261.18697628934507,150.09275754074005,2.6118697794253287e-10,1.500927573959057e-10,118
0,AllDays,60,1e-09,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,208.94958041684103,120.07420493575451,2.08949581183823e-10,1.2007420521521696e-10,118
0,AllDays,60,1e-09,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,156.7121856778355,90.05565235497848,1.5671218586397803e-10,9.00556531069677e-11,118
0,AllDays,60,1e-09,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,104.47479020842052,60.037102467877254,1.044747905919115e-10,6.003710260760848e-11,118
0,AllDays,60,1e-09,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,52.23739510421026,30.018551233938627,5.223739529595575e-11,3.001855130380424e-11,118
0,AllDays,60,1e-09,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,60,1e-09,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,60,1e-09,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,60,1e-09,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,60,1e-09,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,120,1e-09,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,921.7736456919524,542.3236463368215,9.217736439588731e-10,5.423236464149898e-10,118
0,AllDays,120,1e-09,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,881.6965291298042,518.7443588146393,8.816965280965097e-10,5.18744352848297e-10,118
0,AllDays,120,1e-09,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,841.6194170854859,495.1650688319013,8.416194160490678e-10,4.951650686680334e-10,118
0,AllDays,120,1e-09,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,801.542305453349,471.5857829242517,8.015422991870332e-10,4.715857780392718e-10,118
0,AllDays,120,1e-09,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,761.4651899701458,448.00649107295567,7.614651869190756e-10,4.480064897283137e-10,118
0,AllDays,120,1e-09,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,721.3880732625217,424.42720184043867,7.213880694837001e-10,4.2442720188974704e-10,118
0,AllDays,120,1e-09,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,681.310956364971,400.84791292007316,6.813109531178259e-10,4.0084791023014203e-10,118
0,AllDays,120,1e-09,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,641.2338401382252,377.268620835298,6.412338418679158e-10,3.77268624793433e-10,118
0,AllDays,120,1e-09,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,601.1567262108043,353.6893361132621,6.011567250389586e-10,3.53689333564824e-10,118
0,AllDays,120,1e-09,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,561.0796130956229,330.11004698764043,5.610796133774191e-10,3.3011004912803074e-10,118
0,AllDays,120,1e-09,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,521.0024944119534,306.53075535115136,5.210024961809357e-10,3.065307570153964e-10,118
0,AllDays,120,1e-09,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,480.9253832283667,282.95146917639204,4.809253832036526e-10,2.8295146956493016e-10,118
0,AllDays,120,1e-09,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,120,1e-09,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,120,1e-09,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,120,1e-09,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,Wildtype,20,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,5180.619367195388,2858.434428536927,103.61238717856044,57.16868843320815,118
0,AllDays,Wildtype,20,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4975.843984082594,2829.263420810984,99.51687981983868,56.585268459217275,118
0,AllDays,Wildtype,20,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4860.875200442843,2803.096468273168,97.21750394072605,56.06192938729757,118
0,AllDays,Wildtype,20,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4777.4887481806645,2779.7352812172976,95.54977453260888,55.594705306873,118
0,AllDays,Wildtype,20,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4697.961855482499,2756.4475448935946,93.95923691082024,55.12895077619869,118
0,AllDays,Wildtype,20,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4625.724019210723,2732.897190903462,92.51448026559932,54.65794382465516,118
0,AllDays,Wildtype,20,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4559.392209126914,2709.5079041637487,91.18784462800645,54.19015846473945,118
0,AllDays,Wildtype,20,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4494.527950286865,2686.3477265782158,89.89055915593596,53.72695462774292,118
0,AllDays,Wildtype,20,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4433.078044798414,2663.641578329462,88.66156115420794,53.27283179699505,118
0,AllDays,Wildtype,20,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4374.885904223232,2641.3953523720484,87.49771876721564,52.827907601241535,118
0,AllDays,Wildtype,20,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4317.641664048373,2619.3971317406376,86.35283296189066,52.38794242704436,118
0,AllDays,Wildtype,20,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,4262.782920788911,2597.558919936849,85.25565812477873,51.9511782043985,118
0,AllDays,Wildtype,20,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,3714.5368800830033,2349.532183893937,74.29073771692308,46.99064367652243,118
0,AllDays,Wildtype,20,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,3257.1842339543973,2113.8610020779315,65.14368482761212,42.27722028463521,118
0,AllDays,Wildtype,20,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,2848.2070354203047,1886.9508709679444,56.96414054955466,37.73901721516561,118
0,AllDays,Wildtype,20,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,2466.0677104885294,1672.608229520392,49.32135408712646,33.45216448921409,118
0,AllDays,5,20,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,20,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,146.04476105156593,81.19389826007836,2.9208952156921564,1.6238779538955892,118
0,AllDays,10,20,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,20,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,168.3856936177965,96.52208924460184,3.3677138485551135,1.9304417218891812,118
0,AllDays,15,20,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,84.19284680889825,48.26104462230092,1.6838569242775567,0.9652208609445906,118
0,AllDays,15,20,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,15,20,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
