Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed,,,,,,,,,,,,,
No Controlled Devices,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AllDays,Wildtype,0.00,180.00,0.78,0.19,0.63,0.33,535.43,347.48,16.29,10.57,118.00,,1,60,701,633,877,,,,,,,
5,AllDays,Wildtype,0.00,240.00,0.78,0.19,0.63,0.33,468.20,310.18,14.24,9.43,118.00,,2,120,611,529,821,,,,,,,
5,AllDays,Wildtype,0.00,300.00,0.78,0.19,0.63,0.33,405.38,274.95,12.33,8.36,118.00,,3,180,535,445,770,,,,,,,
5,AllDays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,4,240,468,370,723,,,,,,,
5,AllDays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,5,300,405,300,678,,,,,,,
5,AllDays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,AllDays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
5,AllDays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,Intervention Period (min),120 min,60 min,30 min,20 min,,,,,,,
5,AllDays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,5,151.52,94.46,54.79,40.19,,,,,,,
5,AllDays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,10,144.94,85.87,43.84,26.79,,,,,,,
5,AllDays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,15,138.35,77.28,32.88,13.4,,,,,,,
5,AllDays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,20,131.76,68.7,21.92,0,,,,,,,
5,AllDays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,25,125.17,60.11,10.96,,,,,,,,
5,AllDays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,30,118.58,51.52,0,,,,,,,,
5,AllDays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,35,112,42.93,,,,,Intervention Period (min),120 min,60 min,30 min,20 min
5,AllDays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,40,105.41,34.35,,,,,5,151.52,94.46,54.79,40.19
5,AllDays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,45,98.82,25.76,,,,,10,144.94,85.87,43.84,26.79
5,AllDays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,50,92.23,17.17,,,,,15,138.35,77.28,32.88,13.4
5,AllDays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,55,85.64,8.59,,,,,20,131.76,68.7,21.92,0
No Controlled Devices,,,,,,,,,,,,,,,60,79.06,0,,,,,25,125.17,60.11,10.96,
0,Weekdays,Wildtype,0.00,5.00,0.76,0.18,0.62,0.30,816.31,428.11,0.00,0.00,118.00,,120,0,,,,,,30,118.58,51.52,0,
0,Weekdays,Wildtype,0.00,10.00,0.76,0.18,0.62,0.30,773.05,422.97,0.00,0.00,118.00,,,,,,,,,35,112,42.93,,
0,Weekdays,Wildtype,0.00,15.00,0.76,0.18,0.62,0.30,749.66,418.18,0.00,0.00,118.00,,,,,,,,,40,105.41,34.35,,
0,Weekdays,Wildtype,0.00,20.00,0.76,0.18,0.62,0.30,733.06,413.98,0.00,0.00,118.00,,,,,,,,,45,98.82,25.76,,
0,Weekdays,Wildtype,0.00,25.00,0.76,0.18,0.62,0.30,717.31,409.77,0.00,0.00,118.00,,,,,,,,,50,92.23,17.17,,
0,Weekdays,Wildtype,0.00,30.00,0.76,0.18,0.62,0.30,703.13,405.47,0.00,0.00,118.00,,,,,,,,,55,85.64,8.59,,
0,Weekdays,Wildtype,0.00,35.00,0.76,0.18,0.62,0.30,690.17,401.21,0.00,0.00,118.00,,,,,,,,,60,79.06,0,,
0,Weekdays,Wildtype,0.00,40.00,0.76,0.18,0.62,0.30,677.54,396.98,0.00,0.00,118.00,,,,,,,,,120,0,,,
0,Weekdays,Wildtype,0.00,45.00,0.76,0.18,0.62,0.30,665.65,392.83,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekdays,Wildtype,0.00,50.00,0.76,0.18,0.62,0.30,654.40,388.78,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekdays,Wildtype,0.00,55.00,0.76,0.18,0.62,0.30,643.37,384.78,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekdays,Wildtype,0.00,60.00,0.76,0.18,0.62,0.30,632.85,380.81,0.00,0.00,118.00,,,,,,,,,,,,,
