pid,state,eventid,hashKey,submit_time,timestamp,timestampString
9991n,USER_ACTIVE,7,1538027550000USER_ACTIVE9991n,"2018-09-26 23:18:35",1538027550000,"2018-09-26 22:52:30"
9991n,USER_IDLE,15,1538027610000USER_IDLE9991n,"2018-09-26 23:18:35",1538027610000,"2018-09-26 22:53:30"
9991n,USER_IDLE,8,1538028151000USER_IDLE9991n,"2018-09-26 23:18:35",1538028151000,"2018-09-26 23:02:31"
9991n,USER_IDLE,6,1538029050000USER_IDLE9991n,"2018-09-26 23:18:35",1538029050000,"2018-09-26 23:17:30"
9991n,USER_IDLE,8,1538029651000USER_IDLE9991n,"2018-09-26 23:48:35",1538029651000,"2018-09-26 23:27:31"
9991n,USER_IDLE,6,1538030551000USER_IDLE9991n,"2018-09-26 23:48:35",1538030551000,"2018-09-26 23:42:31"
9991n,USER_IDLE,8,1538031152000USER_IDLE9991n,"2018-09-27 00:18:35",1538031152000,"2018-09-26 23:52:32"
9991n,USER_ACTIVE,7,1538031851000USER_ACTIVE9991n,"2018-09-27 00:18:35",1538031851000,"2018-09-27 00:04:11"
9991n,USER_IDLE,15,1538031995000USER_IDLE9991n,"2018-09-27 00:18:35",1538031995000,"2018-09-27 00:06:35"
9991n,USER_IDLE,8,1538032535000USER_IDLE9991n,"2018-09-27 00:18:35",1538032535000,"2018-09-27 00:15:35"
9991n,USER_IDLE,6,1538033437000USER_IDLE9991n,"2018-09-27 00:48:35",1538033437000,"2018-09-27 00:30:37"
9991n,USER_IDLE,8,1538034039000USER_IDLE9991n,"2018-09-27 00:48:35",1538034039000,"2018-09-27 00:40:39"
9991n,USER_IDLE,6,1538034938000USER_IDLE9991n,"2018-09-27 01:18:35",1538034938000,"2018-09-27 00:55:38"
9991n,USER_IDLE,8,1538035539000USER_IDLE9991n,"2018-09-27 01:18:35",1538035539000,"2018-09-27 01:05:39"
9991n,USER_IDLE,6,1538036439000USER_IDLE9991n,"2018-09-27 01:48:35",1538036439000,"2018-09-27 01:20:39"
9991n,USER_IDLE,8,1538037041000USER_IDLE9991n,"2018-09-27 01:48:35",1538037041000,"2018-09-27 01:30:41"
9991n,USER_IDLE,6,1538037940000USER_IDLE9991n,"2018-09-27 01:48:35",1538037940000,"2018-09-27 01:45:40"
9991n,USER_IDLE,8,1538038541000USER_IDLE9991n,"2018-09-27 02:18:36",1538038541000,"2018-09-27 01:55:41"
9991n,USER_IDLE,6,1538039440000USER_IDLE9991n,"2018-09-27 02:18:36",1538039440000,"2018-09-27 02:10:40"
9991n,USER_IDLE,8,1538040041000USER_IDLE9991n,"2018-09-27 02:48:36",1538040041000,"2018-09-27 02:20:41"
9991n,USER_IDLE,6,1538040941000USER_IDLE9991n,"2018-09-27 02:48:36",1538040941000,"2018-09-27 02:35:41"
9991n,USER_IDLE,8,1538041542000USER_IDLE9991n,"2018-09-27 02:48:36",1538041542000,"2018-09-27 02:45:42"
9991n,USER_IDLE,6,1538042441000USER_IDLE9991n,"2018-09-27 03:18:36",1538042441000,"2018-09-27 03:00:41"
9991n,USER_IDLE,8,1538043042000USER_IDLE9991n,"2018-09-27 03:18:36",1538043042000,"2018-09-27 03:10:42"
9991n,USER_IDLE,6,1538043942000USER_IDLE9991n,"2018-09-27 03:48:36",1538043942000,"2018-09-27 03:25:42"
9991n,USER_IDLE,8,1538044543000USER_IDLE9991n,"2018-09-27 03:48:36",1538044543000,"2018-09-27 03:35:43"
9991n,USER_IDLE,6,1538045443000USER_IDLE9991n,"2018-09-27 04:18:36",1538045443000,"2018-09-27 03:50:43"
9991n,USER_IDLE,8,1538046044000USER_IDLE9991n,"2018-09-27 04:18:36",1538046044000,"2018-09-27 04:00:44"
9991n,USER_IDLE,6,1538046944000USER_IDLE9991n,"2018-09-27 04:18:36",1538046944000,"2018-09-27 04:15:44"
9991n,USER_IDLE,8,1538047545000USER_IDLE9991n,"2018-09-27 04:48:36",1538047545000,"2018-09-27 04:25:45"
9991n,USER_IDLE,6,1538048445000USER_IDLE9991n,"2018-09-27 04:48:36",1538048445000,"2018-09-27 04:40:45"
9991n,USER_IDLE,8,1538049046000USER_IDLE9991n,"2018-09-27 05:18:36",1538049046000,"2018-09-27 04:50:46"
9991n,USER_IDLE,6,1538049945000USER_IDLE9991n,"2018-09-27 05:18:36",1538049945000,"2018-09-27 05:05:45"
9991n,USER_IDLE,8,1538050546000USER_IDLE9991n,"2018-09-27 05:18:36",1538050546000,"2018-09-27 05:15:46"
9991n,USER_IDLE,6,1538051446000USER_IDLE9991n,"2018-09-27 05:48:36",1538051446000,"2018-09-27 05:30:46"
9991n,USER_IDLE,8,1538052047000USER_IDLE9991n,"2018-09-27 05:48:36",1538052047000,"2018-09-27 05:40:47"
9991n,USER_IDLE,6,1538052946000USER_IDLE9991n,"2018-09-27 06:18:36",1538052946000,"2018-09-27 05:55:46"
9991n,USER_IDLE,8,1538053548000USER_IDLE9991n,"2018-09-27 06:18:36",1538053548000,"2018-09-27 06:05:48"
9991n,USER_IDLE,6,1538054447000USER_IDLE9991n,"2018-09-27 06:48:36",1538054447000,"2018-09-27 06:20:47"
9991n,USER_IDLE,8,1538055048000USER_IDLE9991n,"2018-09-27 06:48:36",1538055048000,"2018-09-27 06:30:48"
9991n,USER_IDLE,6,1538055947000USER_IDLE9991n,"2018-09-27 06:48:36",1538055947000,"2018-09-27 06:45:47"
9991n,USER_IDLE,8,1538056549000USER_IDLE9991n,"2018-09-27 07:18:36",1538056549000,"2018-09-27 06:55:49"
9991n,USER_IDLE,6,1538057448000USER_IDLE9991n,"2018-09-27 07:18:36",1538057448000,"2018-09-27 07:10:48"
9991n,USER_IDLE,8,1538058049000USER_IDLE9991n,"2018-09-27 07:48:36",1538058049000,"2018-09-27 07:20:49"
9991n,USER_IDLE,6,1538058948000USER_IDLE9991n,"2018-09-27 07:48:36",1538058948000,"2018-09-27 07:35:48"
9991n,USER_IDLE,8,1538059549000USER_IDLE9991n,"2018-09-27 07:48:36",1538059549000,"2018-09-27 07:45:49"
9991n,USER_IDLE,6,1538060449000USER_IDLE9991n,"2018-09-27 08:18:36",1538060449000,"2018-09-27 08:00:49"
9991n,USER_IDLE,8,1538061050000USER_IDLE9991n,"2018-09-27 08:18:36",1538061050000,"2018-09-27 08:10:50"
9991n,USER_ACTIVE,7,1538061595000USER_ACTIVE9991n,"2018-09-27 08:48:36",1538061595000,"2018-09-27 08:19:55"
9991n,USER_IDLE,15,1538061662000USER_IDLE9991n,"2018-09-27 08:48:36",1538061662000,"2018-09-27 08:21:02"
9991n,USER_ACTIVE,7,1538061708000USER_ACTIVE9991n,"2018-09-27 08:48:36",1538061708000,"2018-09-27 08:21:48"
9991n,USER_IDLE,15,1538061770000USER_IDLE9991n,"2018-09-27 08:48:36",1538061770000,"2018-09-27 08:22:50"
9991n,USER_IDLE,8,1538062310000USER_IDLE9991n,"2018-09-27 08:48:36",1538062310000,"2018-09-27 08:31:50"
9991n,USER_IDLE,6,1538063210000USER_IDLE9991n,"2018-09-27 08:48:36",1538063210000,"2018-09-27 08:46:50"
9991n,USER_IDLE,8,1538063811000USER_IDLE9991n,"2018-09-27 09:18:36",1538063811000,"2018-09-27 08:56:51"
9991n,USER_IDLE,6,1538064710000USER_IDLE9991n,"2018-09-27 09:18:36",1538064710000,"2018-09-27 09:11:50"
