"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)","Light (LGR S/N: 20433441)","Occupancy (LGR S/N: 20433441)"
348,11/02/18 03:50:10 PM,1,1,,
349,11/02/18 03:50:20 PM,1,0,,
350,11/02/18 03:50:30 PM,0,0,,
351,11/02/18 03:50:40 PM,0,0,,
352,11/02/18 03:50:50 PM,1,0,,
353,11/02/18 03:51:00 PM,0,0,,
354,11/02/18 03:51:10 PM,0,0,,
355,11/02/18 03:51:20 PM,1,1,,
356,11/02/18 03:51:30 PM,1,1,,
357,11/02/18 03:51:40 PM,1,1,,
358,11/02/18 03:51:50 PM,1,0,,
359,11/02/18 03:52:00 PM,0,1,,
360,11/02/18 03:52:10 PM,1,1,,
361,11/02/18 03:52:20 PM,1,0,,
362,11/02/18 03:52:30 PM,0,0,,
363,11/02/18 03:52:40 PM,1,1,,
364,11/02/18 03:52:50 PM,0,0,,
365,11/02/18 03:53:00 PM,1,0,,
366,11/02/18 03:53:10 PM,0,0,,
367,11/02/18 03:53:20 PM,0,1,,
368,11/02/18 03:53:30 PM,1,1,,
369,11/02/18 03:53:40 PM,1,1,,
370,11/02/18 03:53:50 PM,0,0,,
371,11/02/18 03:54:00 PM,1,1,,
372,11/02/18 03:54:10 PM,0,0,,
373,11/02/18 03:54:20 PM,1,1,,
374,11/02/18 03:54:30 PM,0,0,,
375,11/02/18 03:54:40 PM,0,0,,
376,11/02/18 03:54:50 PM,2,1,,
377,11/02/18 03:55:00 PM,0,0,,
378,11/02/18 03:55:10 PM,1,0,,
379,11/02/18 03:55:20 PM,0,1,,
380,11/02/18 03:55:30 PM,0,0,,
381,11/02/18 03:55:40 PM,1,1,,
382,11/02/18 03:55:50 PM,0,0,,
383,11/02/18 03:56:00 PM,0,0,,
384,11/02/18 03:56:10 PM,1,1,,
385,11/02/18 03:56:20 PM,1,0,,
386,11/02/18 03:56:30 PM,0,0,,
387,11/02/18 03:56:40 PM,1,0,,
388,11/02/18 03:56:50 PM,1,1,,
389,11/02/18 03:57:00 PM,0,0,,
390,11/02/18 03:57:10 PM,0,0,,
391,11/02/18 03:57:20 PM,1,1,,
392,11/02/18 03:57:30 PM,1,1,,
393,11/02/18 03:57:40 PM,0,0,,
394,11/02/18 03:57:50 PM,1,1,,
395,11/02/18 03:58:00 PM,1,1,,
396,11/02/18 03:58:10 PM,0,0,,
397,11/02/18 03:58:20 PM,1,1,,
398,11/02/18 03:58:30 PM,0,0,,
399,11/02/18 03:58:40 PM,0,0,,
400,11/02/18 03:58:50 PM,1,1,,
401,11/02/18 03:59:00 PM,0,0,,
402,11/02/18 03:59:10 PM,1,1,,
403,11/02/18 03:59:20 PM,0,0,,
404,11/02/18 03:59:30 PM,1,1,,
405,11/02/18 03:59:40 PM,1,1,,
406,11/02/18 03:59:50 PM,1,0,,
407,11/02/18 04:00:00 PM,0,1,,
408,11/02/18 04:00:10 PM,1,0,,
409,11/02/18 04:00:20 PM,1,1,,
410,11/02/18 04:00:30 PM,0,0,,
411,11/02/18 04:00:40 PM,0,0,,
412,11/02/18 04:00:50 PM,0,0,,
413,11/02/18 04:01:00 PM,0,0,,
414,11/02/18 04:01:10 PM,0,0,,
415,11/02/18 04:01:20 PM,1,1,,
416,11/02/18 04:01:30 PM,0,0,,
417,11/02/18 04:01:40 PM,1,1,,
418,11/02/18 04:01:50 PM,0,0,,
419,11/02/18 04:02:00 PM,1,1,,
420,11/02/18 04:02:10 PM,0,0,,
421,11/02/18 04:02:20 PM,0,0,,
422,11/02/18 04:02:30 PM,0,1,,
423,11/02/18 04:02:40 PM,1,0,,
424,11/02/18 04:02:50 PM,1,1,,
425,11/02/18 04:03:00 PM,1,0,,
426,11/02/18 04:03:10 PM,0,1,,
427,11/02/18 04:03:20 PM,1,1,,
428,11/02/18 04:03:30 PM,0,0,,
429,11/02/18 04:03:40 PM,0,0,,
430,11/02/18 04:03:50 PM,0,0,,
431,11/02/18 04:04:00 PM,0,0,,
432,11/02/18 04:04:10 PM,0,0,,
433,11/02/18 04:04:20 PM,0,1,,
434,11/02/18 04:04:30 PM,1,0,,
435,11/02/18 04:04:40 PM,0,0,,
436,11/02/18 04:04:50 PM,0,0,,
437,11/02/18 04:05:00 PM,0,0,,
438,11/02/18 04:05:10 PM,0,1,,
439,11/02/18 04:05:20 PM,1,0,,
440,11/02/18 04:05:30 PM,0,0,,
441,11/02/18 04:05:40 PM,1,1,,
442,11/02/18 04:05:50 PM,0,0,,
443,11/02/18 04:06:00 PM,0,0,,
444,11/02/18 04:06:10 PM,2,2,,
445,11/02/18 04:06:20 PM,0,0,,
446,11/02/18 04:06:30 PM,1,1,,
447,11/02/18 04:06:40 PM,0,0,,
448,11/02/18 04:06:50 PM,1,0,,
449,11/02/18 04:07:00 PM,0,0,,
450,11/02/18 04:07:10 PM,1,1,,
451,11/02/18 04:07:20 PM,0,1,,
452,11/02/18 04:07:30 PM,0,0,,
453,11/02/18 04:07:40 PM,0,0,,
454,11/02/18 04:07:50 PM,1,1,,
455,11/02/18 04:08:00 PM,0,1,,
456,11/02/18 04:08:10 PM,1,1,,
457,11/02/18 04:08:20 PM,0,0,,
458,11/02/18 04:08:30 PM,1,0,,
459,11/02/18 04:08:40 PM,0,1,,
460,11/02/18 04:08:50 PM,1,1,,
461,11/02/18 04:09:00 PM,0,0,,
462,11/02/18 04:09:10 PM,0,0,,
463,11/02/18 04:09:20 PM,0,0,,
464,11/02/18 04:09:30 PM,0,0,,
465,11/02/18 04:09:40 PM,1,0,,
466,11/02/18 04:09:50 PM,0,1,,
467,11/02/18 04:10:00 PM,1,1,,
468,11/02/18 04:10:10 PM,0,0,,
469,11/02/18 04:10:20 PM,0,0,,
470,11/02/18 04:10:30 PM,0,0,,
471,11/02/18 04:10:40 PM,1,2,,
472,11/02/18 04:10:50 PM,1,1,,
473,11/02/18 04:11:00 PM,1,1,,
474,11/02/18 04:11:10 PM,0,0,,
475,11/02/18 04:11:20 PM,1,1,,
476,11/02/18 04:11:30 PM,1,0,,
477,11/02/18 04:11:40 PM,0,0,,
478,11/02/18 04:11:50 PM,1,1,,
479,11/02/18 04:12:00 PM,0,0,,
480,11/02/18 04:12:10 PM,0,0,,
481,11/02/18 04:12:20 PM,0,0,,
482,11/02/18 04:12:30 PM,0,0,,
483,11/02/18 04:12:40 PM,0,0,,
484,11/02/18 04:12:50 PM,1,0,,
485,11/02/18 04:13:00 PM,0,1,,
486,11/02/18 04:13:10 PM,1,0,,
487,11/02/18 04:13:20 PM,0,0,,
488,11/02/18 04:13:30 PM,0,0,,
489,11/02/18 04:13:40 PM,0,0,,
490,11/02/18 04:13:50 PM,2,2,,
491,11/02/18 04:14:00 PM,0,0,,
492,11/02/18 04:14:10 PM,0,0,,
493,11/02/18 04:14:20 PM,1,1,,
494,11/02/18 04:14:30 PM,0,0,,
495,11/02/18 04:14:40 PM,0,0,,
496,11/02/18 04:14:50 PM,1,1,,
497,11/02/18 04:15:00 PM,0,0,,
498,11/02/18 04:15:10 PM,1,0,,
499,11/02/18 04:15:20 PM,0,0,,
500,11/02/18 04:15:30 PM,1,1,,
501,11/02/18 04:15:40 PM,1,1,,
502,11/02/18 04:15:50 PM,1,1,,
503,11/02/18 04:16:00 PM,0,0,,
504,11/02/18 04:16:10 PM,0,0,,
505,11/02/18 04:16:20 PM,1,1,,
506,11/02/18 04:16:30 PM,0,0,,
507,11/02/18 04:16:40 PM,0,0,,
508,11/02/18 04:16:50 PM,0,0,,
509,11/02/18 04:17:00 PM,0,0,,
510,11/02/18 04:17:10 PM,0,0,,
511,11/02/18 04:17:20 PM,1,1,,
512,11/02/18 04:17:30 PM,1,0,,
513,11/02/18 04:17:40 PM,1,1,,
514,11/02/18 04:17:50 PM,0,0,,
515,11/02/18 04:18:00 PM,1,1,,
516,11/02/18 04:18:10 PM,1,1,,
517,11/02/18 04:18:20 PM,0,0,,
518,11/02/18 04:18:30 PM,0,0,,
519,11/02/18 04:18:40 PM,1,0,,
520,11/02/18 04:18:50 PM,1,1,,
521,11/02/18 04:19:00 PM,0,0,,
522,11/02/18 04:19:10 PM,0,0,,
523,11/02/18 04:19:20 PM,1,1,,
524,11/02/18 04:19:30 PM,0,0,,
525,11/02/18 04:19:40 PM,1,0,,
526,11/02/18 04:19:50 PM,0,1,,
527,11/02/18 04:20:00 PM,0,0,,
528,11/02/18 04:20:10 PM,0,0,,
529,11/02/18 04:20:20 PM,1,1,,
