"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)"
165,11/02/18 03:36:00 PM,0,0
166,11/02/18 03:36:10 PM,1,0
167,11/02/18 03:36:20 PM,0,0
168,11/02/18 03:36:30 PM,0,0
169,11/02/18 03:36:40 PM,0,0
170,11/02/18 03:36:50 PM,1,1
171,11/02/18 03:37:00 PM,1,1
172,11/02/18 03:37:10 PM,0,0
173,11/02/18 03:37:20 PM,1,0
174,11/02/18 03:37:30 PM,1,1
175,11/02/18 03:37:40 PM,1,1
176,11/02/18 03:37:50 PM,0,0
177,11/02/18 03:38:00 PM,1,1
178,11/02/18 03:38:10 PM,0,0
179,11/02/18 03:38:20 PM,1,0
180,11/02/18 03:38:30 PM,0,0
181,11/02/18 03:38:40 PM,1,1
182,11/02/18 03:38:50 PM,1,0
183,11/02/18 03:39:00 PM,0,0
184,11/02/18 03:39:10 PM,0,1
185,11/02/18 03:39:20 PM,1,1
186,11/02/18 03:39:30 PM,0,0
187,11/02/18 03:39:40 PM,1,1
188,11/02/18 03:39:50 PM,0,0
189,11/02/18 03:40:00 PM,0,0
190,11/02/18 03:40:10 PM,1,1
191,11/02/18 03:40:20 PM,1,1
192,11/02/18 03:40:30 PM,0,0
193,11/02/18 03:40:40 PM,1,1
194,11/02/18 03:40:50 PM,1,1
195,11/02/18 03:41:00 PM,0,0
196,11/02/18 03:41:10 PM,0,0
197,11/02/18 03:41:20 PM,0,0
198,11/02/18 03:41:30 PM,0,0
199,11/02/18 03:41:40 PM,1,1
200,11/02/18 03:41:50 PM,1,1
201,11/02/18 03:42:00 PM,0,0
202,11/02/18 03:42:10 PM,0,0
203,11/02/18 03:42:20 PM,0,0
204,11/02/18 03:42:30 PM,1,0
205,11/02/18 03:42:40 PM,0,1
206,11/02/18 03:42:50 PM,0,0
207,11/02/18 03:43:00 PM,1,0
208,11/02/18 03:43:10 PM,1,1
209,11/02/18 03:43:20 PM,0,0
210,11/02/18 03:43:30 PM,0,1
211,11/02/18 03:43:40 PM,1,0
212,11/02/18 03:43:50 PM,0,0
213,11/02/18 03:44:00 PM,1,1
214,11/02/18 03:44:10 PM,0,1
215,11/02/18 03:44:20 PM,0,0
216,11/02/18 03:44:30 PM,0,0
217,11/02/18 03:44:40 PM,1,1
218,11/02/18 03:44:50 PM,0,0
219,11/02/18 03:45:00 PM,0,0
220,11/02/18 03:45:10 PM,0,0
221,11/02/18 03:45:20 PM,0,0
222,11/02/18 03:45:30 PM,0,0
223,11/02/18 03:45:40 PM,0,0
224,11/02/18 03:45:50 PM,0,0
225,11/02/18 03:46:00 PM,0,0
226,11/02/18 03:46:10 PM,0,0
227,11/02/18 03:46:20 PM,0,0
228,11/02/18 03:46:30 PM,1,1
229,11/02/18 03:46:40 PM,0,0
230,11/02/18 03:46:50 PM,1,1
231,11/02/18 03:47:00 PM,0,0
232,11/02/18 03:47:10 PM,0,0
233,11/02/18 03:47:20 PM,0,0
234,11/02/18 03:47:30 PM,0,0
235,11/02/18 03:47:40 PM,0,0
236,11/02/18 03:47:50 PM,1,1
237,11/02/18 03:48:00 PM,0,0
238,11/02/18 03:48:10 PM,0,1
239,11/02/18 03:48:20 PM,1,0
240,11/02/18 03:48:30 PM,0,0
241,11/02/18 03:48:40 PM,1,1
242,11/02/18 03:48:50 PM,0,0
243,11/02/18 03:49:00 PM,0,0
244,11/02/18 03:49:10 PM,0,1
245,11/02/18 03:49:20 PM,1,0
246,11/02/18 03:49:30 PM,0,0
247,11/02/18 03:49:40 PM,0,1
248,11/02/18 03:49:50 PM,1,0
249,11/02/18 03:50:00 PM,0,1
250,11/02/18 03:50:10 PM,1,1
251,11/02/18 03:50:20 PM,1,0
252,11/02/18 03:50:30 PM,0,0
253,11/02/18 03:50:40 PM,0,0
254,11/02/18 03:50:50 PM,1,0
255,11/02/18 03:51:00 PM,0,0
