"Plot Title: 20433441"
"#","Date Time, GMT-07:00","Light (LGR S/N: 20433441, SEN S/N: 20433441)","Occupancy (LGR S/N: 20433441, SEN S/N: 20433441)","Internal Calibration (LGR S/N: 20433441)","Host Connected (LGR S/N: 20433441)","Stopped (LGR S/N: 20433441)","End Of File (LGR S/N: 20433441)"
184,10/15/18 07:25:40 PM,1.00,,,,,
185,10/15/18 07:26:04 PM,0.00,,,,,
186,10/15/18 07:27:00 PM,,0.00,,,,
187,10/16/18 08:10:51 AM,1.00,,,,,
188,10/16/18 09:44:12 AM,,1.00,,,,
189,10/16/18 09:56:25 AM,,0.00,,,,
190,10/16/18 09:57:34 AM,,1.00,,,,
191,10/16/18 09:59:45 AM,,0.00,,,,
192,10/16/18 11:54:16 AM,,1.00,,,,
193,10/16/18 11:56:34 AM,,0.00,,,,
194,10/16/18 12:41:12 PM,,1.00,,,,
195,10/16/18 12:42:33 PM,,0.00,,,,
196,10/16/18 12:50:59 PM,,1.00,,,,
197,10/16/18 01:53:13 PM,,0.00,,,,
198,10/16/18 01:55:51 PM,,1.00,,,,
199,10/16/18 04:27:11 PM,,0.00,,,,
200,10/16/18 04:27:14 PM,,1.00,,,,
201,10/16/18 04:55:58 PM,0.00,,,,,
202,10/16/18 04:56:02 PM,1.00,,,,,
203,10/16/18 05:34:44 PM,0.00,,,,,
204,10/16/18 06:26:32 PM,,0.00,,,,
205,10/17/18 05:10:03 AM,,1.00,,,,
206,10/17/18 05:10:14 AM,1.00,,,,,
207,10/17/18 05:11:07 AM,,0.00,,,,
208,10/17/18 05:39:10 AM,0.00,,,,,
209,10/17/18 08:10:20 AM,1.00,,,,,
210,10/17/18 10:08:49 AM,,1.00,,,,
211,10/17/18 10:12:44 AM,,0.00,,,,
212,10/17/18 10:14:47 AM,,1.00,,,,
213,10/17/18 10:25:29 AM,,0.00,,,,
214,10/17/18 10:25:51 AM,,1.00,,,,
215,10/17/18 10:43:09 AM,,0.00,,,,
216,10/17/18 10:45:49 AM,,1.00,,,,
217,10/17/18 10:51:05 AM,,0.00,,,,
218,10/17/18 10:52:15 AM,,1.00,,,,
219,10/17/18 10:54:00 AM,,0.00,,,,
220,10/17/18 10:54:05 AM,,1.00,,,,
221,10/17/18 11:03:03 AM,,0.00,,,,
222,10/17/18 11:31:57 AM,,1.00,,,,
223,10/17/18 11:39:12 AM,,0.00,,,,
224,10/17/18 11:40:36 AM,,1.00,,,,
225,10/17/18 11:42:39 AM,,0.00,,,,
226,10/17/18 12:02:32 PM,,1.00,,,,
227,10/17/18 12:05:04 PM,,0.00,,,,
228,10/17/18 12:12:19 PM,,1.00,,,,
229,10/17/18 12:18:09 PM,,0.00,,,,
230,10/17/18 12:26:24 PM,,1.00,,,,
231,10/17/18 12:29:51 PM,,0.00,,,,
232,10/17/18 12:33:59 PM,,1.00,,,,
233,10/17/18 12:39:08 PM,,0.00,,,,
234,10/17/18 05:34:02 PM,0.00,,,,,
235,10/17/18 07:04:59 PM,1.00,,,,,
236,10/17/18 07:05:00 PM,,1.00,,,,
237,10/17/18 07:05:39 PM,0.00,,,,,
238,10/17/18 07:06:33 PM,,0.00,,,,
239,10/18/18 08:09:42 AM,1.00,,,,,
240,10/18/18 09:38:45 AM,,1.00,,,,
241,10/18/18 09:48:48 AM,,0.00,,,,
242,10/18/18 09:58:30 AM,,1.00,,,,
243,10/18/18 09:59:41 AM,,0.00,,,,
244,10/18/18 10:06:21 AM,,1.00,,,,
245,10/18/18 10:08:52 AM,,0.00,,,,
246,10/18/18 11:26:05 AM,,1.00,,,,
247,10/18/18 11:27:38 AM,,0.00,,,,
248,10/18/18 12:25:06 PM,,1.00,,,,
249,10/18/18 12:26:21 PM,,0.00,,,,
250,10/18/18 12:30:19 PM,,1.00,,,,
251,10/18/18 12:34:09 PM,,0.00,,,,
252,10/18/18 12:34:33 PM,,1.00,,,,
253,10/18/18 12:36:21 PM,,0.00,,,,
254,10/18/18 03:37:05 PM,,1.00,,,,
255,10/18/18 04:03:35 PM,,0.00,,,,
256,10/18/18 04:43:17 PM,,1.00,,,,
257,10/18/18 04:44:23 PM,,0.00,,,,
258,10/18/18 05:04:57 PM,0.00,,,,,
259,10/18/18 05:31:44 PM,,1.00,,,,
260,10/18/18 05:36:11 PM,,0.00,,,,
261,10/18/18 06:00:46 PM,,1.00,,,,
262,10/18/18 06:03:32 PM,,0.00,,,,
263,10/18/18 06:04:00 PM,,1.00,,,,
264,10/18/18 06:05:52 PM,,0.00,,,,
265,10/18/18 06:20:35 PM,,1.00,,,,
266,10/18/18 06:23:00 PM,,0.00,,,,
267,10/19/18 08:07:30 AM,1.00,,,,,
268,10/19/18 04:52:55 PM,0.00,,,,,
269,10/20/18 08:07:37 AM,1.00,,,,,
270,10/20/18 04:59:33 PM,0.00,,,,,
271,10/21/18 08:08:24 AM,1.00,,,,,
272,10/21/18 05:05:50 PM,0.00,,,,,
273,10/22/18 08:58:09 AM,1.00,,,,,
274,10/22/18 09:08:14 AM,,1.00,,,,
275,10/22/18 09:10:59 AM,,0.00,,,,
276,10/22/18 09:37:45 AM,,1.00,,,,
277,10/22/18 10:01:01 AM,,0.00,,,,
278,10/22/18 10:23:26 AM,,1.00,,,,
279,10/22/18 01:26:54 PM,,0.00,,,,
280,10/22/18 01:59:21 PM,,1.00,,,,
281,10/22/18 02:08:16 PM,,0.00,,,,
282,10/22/18 02:09:03 PM,,1.00,,,,
283,10/22/18 02:30:05 PM,,0.00,,,,
284,10/22/18 03:38:42 PM,,1.00,,,,
285,10/22/18 04:08:14 PM,0.00,,,,,
286,10/22/18 04:10:27 PM,1.00,,,,,
287,10/22/18 04:11:35 PM,,0.00,,,,
288,10/22/18 04:43:45 PM,0.00,,,,,
289,10/22/18 05:12:18 PM,1.00,,,,,
